Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,,Exchange
XXII,"22nd Century Group, Inc",3.3,192234141,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,6.11,1630501940,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax,,AMEX
IAF,Aberdeen Australia Equity Fund Inc,8.93,203364202.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf,,AMEX
CH,"Aberdeen Chile Fund, Inc.",11.67,109540420,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,,AMEX
ETF,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.11,128015636.5,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf,,AMEX
FCO,"Aberdeen Global Income Fund, Inc.",10.89,102411193.5,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco,,AMEX
IF,"Aberdeen Indonesia Fund, Inc.",9.31,88307649.57,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if,,AMEX
ISL,"Aberdeen Israel Fund, Inc.",18.054,75284114.81,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl,,AMEX
ACU,Acme United Corporation.,16.12,51601764.24,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,,AMEX
ATNM,"Actinium Pharmaceuticals, Inc.",10.9,276042260.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atnm,,AMEX
AE,"Adams Resources & Energy, Inc.",58.5,246729366,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,,AMEX
ADK,Adcare Health Systems Inc,4.16,65593403.2,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,,AMEX
ADK^A,Adcare Health Systems Inc,27.72,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a,,AMEX
API,"Advanced Photonix, Inc.",0.61,19056851.4,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api,,AMEX
ACY,AeroCentury Corp.,17.81,27485407.17,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy,,AMEX
AIRI,Air Industries Group,9.3,54573032.4,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi,,AMEX
AA^,Alcoa Inc.,82.18,0,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^,,AMEX
AXX,Alderon Iron Ore Corp.,1.47,191311925.5,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx,,AMEX
AXU,Alexco Resource Corp,1.61,100743975.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu,,AMEX
