Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
DDD,3D Systems Corporation,59.07,6096653745,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,NYSE
MMM,3M Company,134.2,88933297803,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,NYSE
WBAI,500.com Limited,36.9,1181011991,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,NYSE
WUBA,58.com Inc.,40.33,3203748494,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,NYSE
AHC,A.H. Belo Corporation,11.64,256119459.6,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,NYSE
ATEN,"A10 Networks, Inc.",14.66,865366957.8,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/aten,NYSE
AIR,AAR Corp.,25.44,1006623912,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,NYSE
AAN,"Aaron&#39;s,  Inc.",30.24,2176584480,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,NYSE
ABB,ABB Ltd,25.58,58850609196,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,NYSE
ABT,Abbott Laboratories,38.31,59115023193,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,NYSE
ABBV,AbbVie Inc.,50.98,81366638023,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,NYSE
ANF,Abercrombie & Fitch Company,38.78,2962768538,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,NYSE
GCH,"Aberdeen Greater China Fund, Inc.",9.62,233458275.4,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch,NYSE
SGF,"Aberdeen Singapore Fund, Inc.",12.4,93925213.6,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf,NYSE
ABM,ABM Industries Incorporated,28.14,1571972101,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm,NYSE
AKR,Acadia Realty Trust,26.17,1462993810,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr,NYSE
ACN,Accenture plc.,78.81,52548122737,n/a,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn,NYSE
ACMP,"Access Midstream Partmers, L.P.",57.29,12188756809,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/acmp,NYSE
ACCO,Acco Brands Corporation,6,684596166,n/a,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco,NYSE
ACW,Accuride Corporation New,4.06,193020487.5,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw,NYSE
ACE,Ace Limited,97.89,32955390537,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace,NYSE
ATV,"Acorn International, Inc.",1.61,44248053.43,n/a,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv,NYSE
ACT,"Actavis, Inc.",203.77,35496681835,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/act,NYSE
ATU,Actuant Corporation,33.99,2473525888,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu,NYSE
AYI,Acuity Brands Inc,130.22,5607266949,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi,NYSE
ADX,Adams Express Company (The),12.905,1200440419,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx,NYSE
AGRO,Adecoagro S.A.,8.09,984893783.2,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro,NYSE
PVD,"Administradora de Fondos de Pensiones-Provida, S.A.",87.81,1939527435,n/a,1994,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pvd,NYSE
ADT,ADT Corporation,29.68,5440634567,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/adt,NYSE
AAP,Advance Auto Parts Inc,124.65,9090297449,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,NYSE
AMD,"Advanced Micro Devices, Inc.",3.88,2819252050,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,NYSE
ASX,"Advanced Semiconductor Engineering, Inc.",5.43,8264593909,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx,NYSE
AAV,Advantage Oil & Gas Ltd,4.87,823495518.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav,NYSE
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,10.88,1895278657,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ate,NYSE
AVK,Advent Claymore Convertible Securities and Income Fund,18.52,436717823.5,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk,NYSE
AGC,Advent Claymore Convertible Securities and Income Fund II,7.5598,243733395.1,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc,NYSE
LCM,Advent/Claymore Enhanced Growth & Income Fund,10.08,137118492,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm,NYSE
ACM,Aecom Technology Corporation,31.66,3136307226,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm,NYSE
ANW,Aegean Marine Petroleum Network Inc.,9.8,463265796,n/a,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw,NYSE
AEB,Aegon NV,21.46,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb,NYSE
AED,Aegon NV,25.294,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed,NYSE
AEF,Aegon NV,25.72,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aef,NYSE
AEG,Aegon NV,8.99,22373048824,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg,NYSE
AEH,Aegon NV,25.5,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh,NYSE
AEK,Aegon NV,28.52,0,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek,NYSE
AER,Aercap Holdings N.V.,41.66,4740233066,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer,NYSE
ARX,Aeroflex Holding Corp.,8.31,708082485.4,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/arx,NYSE
ARO,Aeropostale Inc,4.99,391683657.8,n/a,2002,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aro,NYSE
AET,Aetna Inc.,74.1,26876070000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet,NYSE
AFM,"Affiliated Managers Group, Inc.",25.45,0,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/afm,NYSE
AMG,"Affiliated Managers Group, Inc.",190.98,10171183811,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg,NYSE
MGR,"Affiliated Managers Group, Inc.",25.0435,0,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr,NYSE
AFL,Aflac Incorporated,62.66,28496694948,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl,NYSE
AFSD,Aflac Incorporated,23.15,0,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd,NYSE
MITT,"AG Mortgage Investment Trust, Inc.",17.52,497228620.1,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt,NYSE
