Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
PIH,"1347 Property Insurance Holdings, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pih,nasdaq
FLWS,"1-800 FLOWERS.COM, Inc.",5.47,351149073.2,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,nasdaq
FCTY,"1st Century Bancshares, Inc",7.8,77668780.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,nasdaq
FCCY,1st Constitution Bancorp (NJ),10.35,61984773.45,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,nasdaq
SRCE,1st Source Corporation,31.62,798612490.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,nasdaq
FUBC,"1st United Bancorp, Inc. (FL)",7.57,259566526.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc,nasdaq
VNET,"21Vianet Group, Inc.",26.78,1177483339,43968758,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,nasdaq
TWOU,"2U, Inc.",13.98,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/twou,nasdaq
JOBS,"51job, Inc.",71.52,830212098.7,11608111,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,nasdaq
EGHT,8x8 Inc,10.55,927079667.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,nasdaq
AVHI,"A V Homes, Inc.",17.92,394124774.4,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,nasdaq
SHLM,"A. Schulman, Inc.",35.31,1024581831,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,nasdaq
AAON,"AAON, Inc.",27.46,1007441249,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,nasdaq
ASTM,"Aastrom Biosciences, Inc.",4.06,25122983.62,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm,nasdaq
ABAX,"ABAXIS, Inc.",37.86,842233560,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,nasdaq
ABGB,"Abengoa, S.A.",23.16,176080778.5,7602797,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,nasdaq
ABMD,"ABIOMED, Inc.",25.7,1023323345,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,nasdaq
AXAS,Abraxas Petroleum Corporation,3.87,359647370.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,nasdaq
ACTG,Acacia Research Corporation,14.82,750486622.9,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,nasdaq
ACHC,"Acadia Healthcare Company, Inc.",44.53,2251323338,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,nasdaq
ACAD,ACADIA Pharmaceuticals Inc.,22.65,2208434298,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,nasdaq
ACST,"Acasti Pharma, Inc.",1.15,121741505.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,nasdaq
AXDX,"Accelerate Diagnostics, Inc.",20.02,838928510.4,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,nasdaq
